fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 183524	-0.401895646657795	3166	157	5	5	10329000	1
20220517 183603	-0.779691965867823	3729	1800	15	5	9590000	2
20220517 183644	-0.592418942686345	5056	915	14	5	9534000	3
20220517 183726	-0.263354159719893	2730	737	11	5	10802000	4
20220517 183809	-0.49715004448517	6464	1258	13	5	7989000	5
20220517 183833	0.0354082140620449	6807	1200	16	5	0	6
20220517 183854	-0.662489583497518	4628	829	3	5	8881000	7
20220517 183933	-0.1644182211734	5542	620	10	5	9472000	8
20220517 184034	-0.96793204122805	335	25	12	5	7496000	9
20220517 184108	-0.0648050343937938	7525	1897	6	5	8090000	10
20220517 184156	-0.530008744550287	7091	383	20	5	8035000	11
20220517 184242	-0.00105896097084035	1440	337	9	5	10009000	12
20220517 184319	-0.813221853139112	4142	1737	7	5	9584000	13
20220517 184401	-0.317427578226974	4349	677	19	5	9609000	14
20220517 184428	-0.0454193209065124	6135	628	5	5	9447000	15
20220517 184446	0.0980261931195856	3222	703	11	5	0	16
20220517 184508	-0.0595270594218848	248	122	3	5	8881000	17
20220517 184544	7.62033879990742e-05	6368	384	8	5	0	18
20220517 184613	-0.773201033164165	827	89	5	5	10640000	19
20220517 184700	-0.134298269412527	6789	413	19	5	8077000	20
20220517 184743	-0.974911303151376	4625	1420	16	5	9111000	21
20220517 184826	-0.0823864040482788	3962	992	11	5	9874000	22
20220517 184912	-0.027138417098671	6345	1154	16	5	8258000	23
20220517 184940	0.0929722759934375	7571	1343	19	5	0	24
20220517 185036	-0.579941927807243	5276	7	12	5	9394000	25
20220517 185117	-0.0710410131256789	5772	912	11	5	9466000	26
20220517 185202	-0.145746898399061	4540	1825	9	5	9546000	27
20220517 185227	0.0639195370956791	3788	554	14	5	0	28
20220517 185256	-0.0107403101474278	6680	263	5	5	8083000	29
20220517 185345	-0.565705962125631	3453	481	13	5	10323000	30
20220517 185428	-0.387285036572232	3413	1655	12	5	9719000	31
20220517 185511	-0.719018508415623	5593	765	18	5	9535000	32
20220517 185556	-0.0139117329538566	2921	472	10	5	10738000	33
20220517 185633	-0.0927931435883511	6729	1536	20	5	7807000	34
20220517 185721	-0.683074035538896	1879	3	10	5	10650000	35
20220517 185759	-0.629953419610928	4347	1447	7	5	9111000	36
20220517 185840	-0.118262987828953	7691	387	14	5	8090000	37
20220517 185903	-0.0311029390488996	7007	113	3	5	8035000	38
20220517 185947	-0.120539011086896	5408	1335	15	5	8974000	39
20220517 190054	-0.713448135211505	342	157	16	5	8008000	40
20220517 190155	-0.370164632240823	5201	1142	18	5	9496000	41
20220517 190250	-0.831253214281495	3597	1156	15	5	10032000	42
20220517 190342	-0.0519494562123203	7833	490	18	5	8090000	43
20220517 190430	-0.374558912128373	466	49	7	5	9522000	44
20220517 190514	-0.180477425767435	3700	1181	10	5	10077000	45
20220517 190609	-0.287708762051584	1674	649	14	5	10512000	46
20220517 190657	-0.56114584421902	5235	815	14	5	9472000	47
20220517 190725	-0.32948986165619	4849	1548	5	5	9275000	48
20220517 190812	-0.781680843714694	7186	421	18	5	8035000	49
20220517 190849	-0.278788405495672	5496	802	8	5	9472000	50
20220517 190915	-0.425296978552779	3848	842	4	5	9370000	51
20220517 190954	-0.181858026992669	4637	533	9	5	9609000	52
20220517 191053	-0.502197271070327	2214	241	16	5	10755000	53
20220517 191126	-0.797624804711482	7433	1746	6	5	8090000	54
20220517 191230	-0.257706463427492	6225	234	14	5	8626000	55
20220517 191311	-0.42771271963967	7135	1657	14	5	7688000	56
20220517 191351	-0.701322359884903	5890	470	7	5	9447000	57
20220517 191429	-0.559946883875574	5844	1035	5	5	9454000	58
20220517 191533	-0.444017531776195	2770	531	13	5	10763000	59
20220517 191618	-0.176455769187608	7671	1677	12	5	8090000	60
20220517 191701	-0.613144103647443	4077	1931	8	5	9474000	61
20220517 191735	-0.350847082286957	7397	1210	8	5	8090000	62
20220517 191830	-0.498630778292567	1761	193	13	5	10067000	63
20220517 191929	-0.786129967750446	2055	460	17	5	10685000	64
20220517 192024	-0.410919852057379	5824	200	19	5	9418000	65
20220517 192048	-0.754356393446471	4992	360	3	5	8881000	66
20220517 192136	-0.750176023899182	6530	1461	10	5	7918000	67
20220517 192202	0.032604565240699	4793	172	3	5	0	68
20220517 192246	-0.305484709569439	4039	1862	15	5	9529000	69
20220517 192325	-0.40313353580439	7779	1325	10	5	8090000	70
20220517 192407	-0.576065255836281	5332	635	18	5	9472000	71
20220517 192452	-0.0179929349527461	4655	828	18	5	9672000	72
20220517 192519	-0.234358446993306	6131	1395	4	5	8974000	73
20220517 192554	-0.945927437657653	7677	1384	8	5	8090000	74
20220517 192632	-0.00730047407641532	7768	1906	15	5	8090000	75
20220517 192710	-0.288998428788874	6267	1884	7	5	8614000	76
20220517 192756	-0.906267884298041	7068	102	9	5	7866000	77
20220517 192821	0.0554666299486533	5473	1068	11	5	0	78
20220517 192858	-0.371984089875733	3619	562	6	5	9967000	79
20220517 193011	-0.207695578107471	5213	18	14	5	9238000	80
20220517 193105	-0.349143641219032	3719	5	10	5	10084000	81
20220517 193149	-0.0151073697199579	5618	1320	17	5	8974000	82
