Feature	Gain	Cover	Frequency
ctrx_quarter	0.138036987598047	0.0260304504006615	0.0303870239195155
mcaja_ahorro	0.058412507324751	0.0202968539722226	0.0305923416487014
mpasivos_margen	0.0432020238107422	0.0226409262325401	0.0312082948362591
mpayroll	0.0400603439290412	0.0292416946260598	0.0116004516990042
cpayroll_trx	0.0345392607382387	0.0167141142613299	0.0033877425315676
mtarjeta_visa_consumo	0.0327840026751066	0.0157792409252923	0.0208397495123704
mcuentas_saldo	0.0318953808739609	0.0248005037366917	0.0233035622626014
Visa_mpagospesos	0.0285797250474713	0.0111652631863731	0.0176573247099887
Master_fechaalta	0.0266416891819916	0.024119325099728	0.0287444820860281
Visa_msaldopesos	0.0261745108630529	0.0163665959270538	0.0208397495123704
mrentabilidad_annual	0.023389476930392	0.0237638427827417	0.0239195154501591
mactivos_margen	0.0232805778240116	0.0258101102043799	0.0213530438353352
cliente_edad	0.021084137291777	0.0217412517955423	0.0294630941381788
ctarjeta_visa_trx	0.0193821278768145	0.0155156175605488	0.0181706190329535
mprestamos_personales	0.0172096586216608	0.0213321316289869	0.00657016733394929
cliente_antiguedad	0.01570807098242	0.0141038625436432	0.0233035622626014
Master_Fvencimiento	0.0154283131311779	0.014986090395484	0.0228929268042295
mcomisiones_otras	0.0150413322683102	0.0143723725560534	0.0240221743147521
mrentabilidad	0.014545211768155	0.014835115536339	0.0197105020018479
Visa_msaldototal	0.0139830011610073	0.0111716183343131	0.0177599835745817
chomebanking_trx	0.0136386161782032	0.012325654059246	0.0171440303870239
mcomisiones	0.0132684848884489	0.0123740844965835	0.0203264551894056
Master_mfinanciacion_limite	0.0131632248325953	0.0134421152225811	0.0216610204291141
Visa_mpagominimo	0.0129121726129004	0.013352396371419	0.0215583615645211
Visa_fechaalta	0.0128959638456562	0.0130154181602643	0.0195051842726619
mcuenta_corriente	0.0128478837386448	0.0115712508864755	0.0167333949286521
mautoservicio	0.0127102097214585	0.0197616182002937	0.0201211374602197
Visa_Fvencimiento	0.0123497935858465	0.0128651499855511	0.0228929268042295
mtransferencias_recibidas	0.0117532479450374	0.0103513080673701	0.0180679601683605
numero_de_cliente	0.0113941596705282	0.0104017783668619	0.0171440303870239
Visa_mconsumospesos	0.00983203710224432	0.00930645759312524	0.016836053793245
Visa_mlimitecompra	0.00975954169989074	0.0131481595586793	0.0165280771994662
cproductos	0.00941391021366622	0.00867471178276404	0.0106765219176676
Visa_mfinanciacion_limite	0.00908006911607532	0.0127014197230092	0.0149881942305718
Master_mlimitecompra	0.00856981450479646	0.00901790981930801	0.0152961708243507
mcaja_ahorro_dolares	0.00845161081207005	0.0146254958932463	0.0136536289908634
ccomisiones_otras	0.0078969768123952	0.0118048827644108	0.0134483112616774
cprestamos_personales	0.00777107705322386	0.00384928002839729	0.00287444820860281
mcomisiones_mantenimiento	0.00773761104134963	0.0161349036723463	0.0107791807822605
Visa_cconsumos	0.00760541505582738	0.00780812120345692	0.0124217226157479
Visa_mconsumototal	0.00603423957160481	0.00791561742823341	0.0119084282927831
mtransferencias_emitidas	0.00597878782941875	0.0125998125351644	0.0123190637511549
ccomisiones_mantenimiento	0.00578355095014939	0.01601562436176	0.00646750846935633
mtarjeta_visa_debitos_automaticos	0.00566860816741825	0.00819637162551543	0.0111898162406324
mpagomiscuentas	0.00564976921004182	0.00903667454634844	0.0094446155425521
ctransferencias_emitidas	0.00562020062319154	0.0133601047448667	0.00780207370906478
ctransferencias_recibidas	0.00543411132654219	0.0117340639628399	0.00780207370906478
Visa_mpagado	0.00517843893252596	0.00976254470869129	0.00882866235499435
ctarjeta_debito_trx	0.00476119459914703	0.00948204110872553	0.0139616055846422
mcuenta_debitos_automaticos	0.00475909236277505	0.0104845055529007	0.0123190637511549
thomebanking	0.00435263661571777	0.00523926816241388	0.0041063545837183
tcallcenter	0.00407618357143593	0.00290101477177957	0.00153988296889436
Master_msaldopesos	0.00407240944828966	0.00559110178247566	0.00544091982342675
mextraccion_autoservicio	0.00388256099882178	0.0110383957890509	0.012011087157376
Master_mpagospesos	0.00382952840182859	0.0122270089316793	0.00708346165691407
ccuenta_debitos_automaticos	0.00379405174967489	0.00932389415438958	0.00862334462580844
Master_status	0.00368746978427677	0.0113214404458034	0.00205317729185915
Visa_mconsumosdolares	0.00315472216345907	0.00433360444955783	0.00492762550046197
ctarjeta_visa_debitos_automaticos	0.00312456831090471	0.0050387051063303	0.00544091982342675
ccaja_ahorro	0.00303727329834829	0.00897647104709372	0.00287444820860281
